start;end;stage;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31
19:00;21:30;3;2;14;10;6;3;15;11;7;4;16;12;8;5;1;13;9;6;2;14;10;7;3;15;11;8;4;16;12;9;5;1
19:00;21:30;4;6;2;14;10;7;3;15;11;8;4;16;12;9;5;1;13;10;6;2;14;11;7;3;15;12;8;4;16;13;9;5
19:00;21:30;5;9;5;1;13;10;6;2;14;11;7;3;15;12;8;4;16;13;9;5;1;14;10;6;2;15;11;7;3;16;12;8
19:00;21:30;6;13;9;5;1;14;10;6;2;15;11;7;3;16;12;8;4;1;13;9;5;2;14;10;6;3;15;11;7;4;16;12
19:00;21:30;7;1;13;9;5;2;14;10;6;3;15;11;7;4;16;12;8;5;1;13;9;6;2;14;10;7;3;15;11;8;4;16
19:00;21:30;8;5;1;13;9;6;2;14;10;7;3;15;11;8;4;16;12;9;5;1;13;10;6;2;14;11;7;3;15;12;8;4
21:00;23:30;1;11;7;3;15;12;8;4;16;13;9;5;1;14;10;6;2;15;11;7;3;16;12;8;4;1;13;9;5;2;14;10
21:00;23:30;2;15;11;7;3;16;12;8;4;1;13;9;5;2;14;10;6;3;15;11;7;4;16;12;8;5;1;13;9;6;2;14
21:00;23:30;3;3;15;11;7;4;16;12;8;5;1;13;9;6;2;14;10;7;3;15;11;8;4;16;12;9;5;1;13;10;6;2
21:00;23:30;4;7;3;15;11;8;4;16;12;9;5;1;13;10;6;2;14;11;7;3;15;12;8;4;16;13;9;5;1;14;10;6
21:00;23:30;5;10;6;2;14;11;7;3;15;12;8;4;16;13;9;5;1;14;10;6;2;15;11;7;3;16;12;8;4;1;13;9
21:00;23:30;6;14;10;6;2;15;11;7;3;16;12;8;4;1;13;9;5;2;14;10;6;3;15;11;7;4;16;12;8;5;1;13
21:00;23:30;7;2;14;10;6;3;15;11;7;4;16;12;8;5;1;13;9;6;2;14;10;7;3;15;11;8;4;16;12;9;5;1
21:00;23:30;8;6;2;14;10;7;3;15;11;8;4;16;12;9;5;1;13;10;6;2;14;11;7;3;15;12;8;4;16;13;9;5
23:00;1:30;1;12;8;4;16;13;9;5;1;14;10;6;2;15;11;7;3;16;12;8;4;1;13;9;5;2;14;10;6;3;15;11
23:00;1:30;2;16;12;8;4;1;13;9;5;2;14;10;6;3;15;11;7;4;16;12;8;5;1;13;9;6;2;14;10;7;3;15
23:00;1:30;3;4;16;12;8;5;1;13;9;6;2;14;10;7;3;15;11;8;4;16;12;9;5;1;13;10;6;2;14;11;7;3
23:00;1:30;4;8;4;16;12;9;5;1;13;10;6;2;14;11;7;3;15;12;8;4;16;13;9;5;1;14;10;6;2;15;11;7
23:00;1:30;5;11;7;3;15;12;8;4;16;13;9;5;1;14;10;6;2;15;11;7;3;16;12;8;4;1;13;9;5;2;14;10
23:00;1:30;6;15;11;7;3;16;12;8;4;1;13;9;5;2;14;10;6;3;15;11;7;4;16;12;8;5;1;13;9;6;2;14
23:00;1:30;7;3;15;11;7;4;16;12;8;5;1;13;9;6;2;14;10;7;3;15;11;8;4;16;12;9;5;1;13;10;6;2
23:00;1:30;8;7;3;15;11;8;4;16;12;9;5;1;13;10;6;2;14;11;7;3;15;12;8;4;16;13;9;5;1;14;10;6
